"","higher_taxon","Family","n_missing"
"386","Lepidoptera","Tineidae",0
"387","Lepidoptera","Tischeriidae",0
"388","Lepidoptera","Tortricidae",0
"389","Lepidoptera","Urodidae",0
"390","Lepidoptera","Yponomeutidae",0
"391","Lepidoptera","Ypsolophidae",0
"392","Mecoptera","Boreidae",0
"393","Mecoptera","Panorpidae",0
"394","Megaloptera","Sialidae",0
"395","Neuroptera","Chrysopidae",0
"396","Neuroptera","Coniopterygidae",0
"397","Neuroptera","Hemerobiidae",0
"398","Neuroptera","Myrmeleontidae",0
"399","Neuroptera","Sisyridae",0
"400","Odonata","Aeshnidae",0
"401","Odonata","Corduliidae",0
"402","Odonata","Libellulidae",0
"403","Odonata","Coenagrionidae",0
"404","Odonata","Lestidae",0
"405","Odonata","Platycnemididae",0
"406","Orthoptera","Acrididae",0
"407","Orthoptera","Tetrigidae",0
"408","Orthoptera","Gryllidae",0
"409","Orthoptera","Tettigoniidae",0
"410","Plecoptera","Capniidae",0
"411","Plecoptera","Chloroperlidae",0
"412","Plecoptera","Leuctridae",0
"413","Plecoptera","Nemouridae",0
"414","Plecoptera","Perlodidae",0
"415","Plecoptera","Taeniopterygidae",0
"416","Psocoptera","Amphipsocidae",0
"417","Psocoptera","Caeciliusidae",0
"418","Psocoptera","Ectopsocidae",0
"419","Psocoptera","Elipsocidae",0
"420","Psocoptera","Epipsocidae",0
"421","Psocoptera","Lachesillidae",0
"422","Psocoptera","Liposcelididae",0
"423","Psocoptera","Mesopsocidae",0
"424","Psocoptera","Peripsocidae",0
"425","Psocoptera","Philotarsidae",0
"426","Psocoptera","Psocidae",0
"427","Psocoptera","Psyllipsocidae",0
"428","Psocoptera","Stenopsocidae",0
"429","Psocoptera","Trichopsocidae",0
"430","Psocoptera","Trogiidae",0
"431","Thysanoptera","Aeolothripidae",0
"432","Thysanoptera","Thripidae",0
"433","Trichoptera","Apataniidae",0
"434","Trichoptera","Beraeidae",0
"435","Trichoptera","Brachycentridae",0
"436","Trichoptera","Ecnomidae",0
"437","Trichoptera","Glossosomatidae",0
"438","Trichoptera","Goeridae",0
"439","Trichoptera","Hydropsychidae",0
"440","Trichoptera","Hydroptilidae",0
"441","Trichoptera","Lepidostomatidae",0
"442","Trichoptera","Leptoceridae",0
"443","Trichoptera","Limnephilidae",0
"444","Trichoptera","Molannidae",0
"445","Trichoptera","Philopotamidae",0
"446","Trichoptera","Phryganeidae",0
"447","Trichoptera","Polycentropodidae",0
"448","Trichoptera","Psychomyiidae",0
"449","Trichoptera","Rhyacophilidae",0
"450","Trichoptera","Sericostomatidae",0
"451","Zygentoma","Lepismatidae",0
"452","Hemiptera","Aphrophoridae",2
"453","Coleoptera","Apionidae",2
"454","Coleoptera","Malachiidae",2
"455","Coleoptera","Rhynchitidae",2
"456","Dermaptera","Spongiphoridae",2
"457","Dictyoptera","Blattidae",2
"458","Diptera","Bolitophilidae",2
"459","Diptera","Camillidae",2
"460","Diptera","Chamaemyiidae",2
"461","Diptera","Cylindrotomidae",2
"462","Diptera","Diastatidae",3
"463","Diptera","Ditomyiidae",2
"464","Diptera","Heleomyzidae",2
"465","Diptera","Limoniidae",2
"466","Diptera","Megamerinidae",2
"467","Diptera","Opetiidae",2
"468","Diptera","Pediciidae",2
"469","Diptera","Phaeomyiidae",2
"470","Diptera","Tanypezidae",2
"471","Hemiptera","Artheneidae",2
"472","Hemiptera","Blissidae",2
"473","Hemiptera","Cymidae",2
"474","Hemiptera","Heterogastridae",2
"475","Hemiptera","Rhyparochromidae",2
"476","Hymenoptera","Dryinidae",2
"477","Hymenoptera","Ormyridae",2
"478","Hymenoptera","Signiphoridae",2
"479","Lepidoptera","Bedelliidae",2
"480","Lepidoptera","Crambidae",2
"481","Lepidoptera","Epermeniidae",2
"482","Lepidoptera","Erebidae",2
"483","Lepidoptera","Lypusidae",2
"484","Lepidoptera","Nolidae",2
"485","Lepidoptera","Praydidae",2
"486","Lepidoptera","Schreckensteiniidae",2
"487","Lepidoptera","Scythrididae",2
"488","Lepidoptera","Stathmopodidae",2
"489","Hemiptera","Adelgidae",2
"490","Hemiptera","Aleyrodidae",2
"491","Hemiptera","Aphididae",2
"492","Hemiptera","Phylloxeridae",2
"493","Hemiptera","Psyllidae",2
"494","Hemiptera","Triozidae",2
"495","Collembola","Bourletiellidae",2
"496","Collembola","Brachystomellidae",2
"497","Collembola","Dicyrtomidae",2
"498","Collembola","Katiannidae",2
"499","Collembola","Sminthurididae",2
"500","Dictyoptera","Blaberidae",2
"501","Hemiptera","Aphalaridae",2
"502","Hemiptera","Liviidae",2
"503","Hemiptera","Thyreocoridae",2
"504","Coleoptera","Dasytidae",2
"505","Coleoptera","Stenotrachelidae",2
"506","Coleoptera","Dryophthoridae",2
"507","Coleoptera","Megalopodidae",2
"508","Hymenoptera","Azotidae",2
"509","Entomobryomorpha","Entomobryidae",4
"510","Diptera","Polleniidae",4
"511","Opiliones","Phalangiidae",4
"512","Entomobryomorpha","Orchesellidae",4
"513","Psocodea","Caeciliusidae",4
