"","higher_taxon","family","length_min","length_max","mass_reference","larva_terrestrial","larva_aquatic","adult_terrestrial","adult_aquatic","phytophagous","zoophagous","mycetophagous","saprophagous","detritophagous","coprophagous","phyllophagous","saproxylic","sap_sucking","stem","flower","seed","gall_inducing","miners","roots","not_specified","predator","micropredator","parasite","parasitoid","necrophorous","sub_family","main_feeding_niche_ronquist","main_feeding_habitat_ronquist","in_IBA"
"349","Grylloblattidae",NA,10,30,"(Arnett 2000)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"350","Hemiptera","Acanthosomatidae",6,18,"(Schuh & Slater 1995)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",TRUE
"351","Hemiptera","Achilidae",3,13,"(Capinera 2008)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Saprophagous","Wood",TRUE
"352","Hemiptera","Achilixiidae",4,8,"(Capinera 2008)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"353","Hemiptera","Aetalionidae",3,30,"(Deitz et al. 2010)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"354","Hemiptera","Aleyrodoidea",1,4,"(Capinera 2008)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"355","Hemiptera","Alydidae",8,20,"(Schuh & Slater 1995)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",FALSE
"356","Hemiptera","Anthocoridae",1.4,4.5,"(Schuh & Slater 1995)",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"Predator","Plants",TRUE
"357","Hemiptera","Aphelocheiridae",3.5,11.5,"(Schuh & Slater 1995)",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"Predator","Water",FALSE
"358","Hemiptera","Aphidoidea",1,8,"(Capinera 2008)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"359","Hemiptera","Aradidae",3,11,"(Schuh & Slater 1995)",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Saprophagous","Wood",TRUE
"360","Hemiptera","Belostomatidae",9,110,"(Schuh & Slater 1995)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"361","Hemiptera","Berytidae",2.5,11,"(Schuh & Slater 1995)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",TRUE
"362","Hemiptera","Caliscelidae",1,5,"(Capinera 2008)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",FALSE
"363","Hemiptera","Canopidae",5,7,"(Schuh & Slater 1995)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"364","Hemiptera","Cercopidae",5,20,"(Arnett 2000)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",FALSE
"365","Hemiptera","Cicadellidae",1.7,28,"(Evans 1966)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",TRUE
"366","Hemiptera","Cicadidae",10,100,"(Capinera 2008)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",FALSE
"367","Hemiptera","Cimicidae",2,12,"(Schuh & Slater 1995)",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,"Parasite","Homeothermic animals",TRUE
"368","Hemiptera","Cixiidae",3,13,"(Capinera 2008)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",TRUE
"369","Hemiptera","Coccoidea",0.6,35,"(Arnett 2000)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"370","Hemiptera","Colobathristidae",6,20,"(Schuh & Slater 1995)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"371","Hemiptera","Coreidae",7,45,"(Schuh & Slater 1995)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",TRUE
"372","Hemiptera","Corixidae",2.5,15,"(Schuh & Slater 1995)",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"Saprophagous","Water",FALSE
"373","Hemiptera","Cydnidae",2,20,"(Schuh & Slater 1995)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Soil",TRUE
"374","Hemiptera","Delphacidae",2,10,"(Capinera 2008)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",TRUE
"375","Hemiptera","Derbidae",4,11,"(Capinera 2008)/ (Arnett 2000)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"376","Hemiptera","Dictyopharidae",3,33,"(Capinera 2008)",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Phytophagous","Plants",FALSE
"377","Hemiptera","Dinidoridae",9,27,"(Schuh & Slater 1995)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"378","Hemiptera","Dipsocoridae",0.8,3,"(Schuh & Slater 1995)",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"Predator","Soil",FALSE
"379","Hemiptera","Enicocephalidae",2,15,"(Schuh & Slater 1995)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"380","Hemiptera","Eurybrachyidae",7,29,"(Capinera 2008)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"381","Hemiptera","Flatidae",4,32,"(Capinera 2008)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"382","Hemiptera","Fulgoridae",4,100,"(Capinera 2008)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"383","Hemiptera","Gelastocoridae",7,15,"(Schuh & Slater 1995)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"384","Hemiptera","Gerridae",1.6,36,"(Schuh & Slater 1995)",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.2,NA,"Predator","Water",TRUE
"385","Hemiptera","Hebridae",1.3,3.7,"(Schuh & Slater 1995)",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,"Phytophagous","Plants",FALSE
"386","Hemiptera","Hermatobatidae",2.5,4,"(Schuh & Slater 1995)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"387","Hemiptera","Hydrometridae",2.7,22,"(Schuh & Slater 1995)",0,1,0.8,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,NA,"Saprophagous","Water",FALSE
"388","Hemiptera","Hyocephalidae",8,15,"Resh and Carde 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"389","Hemiptera","Idiostolidae",5,7,"(Schuh & Slater 1995)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
